句子,句型,人工判断
在那里精确地留下了带扣的形状,未知句型,
但很快又被淤血模糊成黑紫的一团,被字句,
他摇晃了一下,未知句型,
又站稳了,未知句型,
一名男红卫兵质问叶哲泰：“在量子力学的教学中,未知句型,
你也散布过大量的反动言论,未知句型,
”说完对绍琳点点头,未知句型,
示意她继续,未知句型,
绍琳迫不及待地要继续下去了,否定句,
她必须不停顿地说下去,否定句,
以维持自己那摇摇欲坠的精神免于彻底垮掉,未知句型,
“叶哲泰,未知句型,
这一点你是无法抵赖的,肯定句,
你多次向学生散布反动的哥本哈根解释,未知句型,
”,未知句型,
“这毕竟是目前公认的最符合实验结果的解释,肯定句,
”叶哲泰说,未知句型,
在受到如此重击后,未知句型,
他的口气还如此从容,未知句型,
这让绍琳很吃惊,未知句型,
也很恐惧,未知句型,
“这个解释认为,未知句型,
是外部的观察导致了量子波函数的坍缩,肯定句,
这是反动唯心论的另一种表现形式,肯定句,
而且是一种最猖狂的表现,肯定句,
”,未知句型,
“是哲学指引实验还是实验指引哲学,肯定句,
”叶哲泰问道,未知句型,
他这突然的反击令批判者们一时不知所措,否定句,
“当然是正确的马克思主义哲学指引科学实验,肯定句,
”一名男红卫兵说,未知句型,
“这等于说正确的哲学是从天上掉下来的,肯定句,
这反对实践出真知,未知句型,
恰恰是违背马克思主义对自然界的认知原则的,肯定句,
”,未知句型,
绍琳和两名大学红卫兵无言以对,未知句型,
与中学和社会上的红卫兵不同,否定句,
他们不可能一点儿道理也不讲,否定句,
但来自附中的四位小将自有她们“无坚不摧”的革命方式,否定句,
刚才动手的那个女孩儿又狠抽了叶哲泰一皮带,未知句型,
另外三个女孩子也都分别抡起皮带抽了一下,未知句型,
当同伴革命时,未知句型,
她们必须表现得更革命,未知句型,
至少要同样革命,未知句型,
两名男红卫兵没有过问,否定句,
他们要是现在管这事,肯定句,
也有不革命的嫌疑,否定句,
“你还在教学中散布宇宙大爆炸理论,未知句型,
这是所有科学理论中最反动的一个,肯定句,
”一名男红卫兵试图转移话题,未知句型,
“也许以后这个理论会被推翻,被字句,
但本世纪的两大宇宙学发现：哈勃红移和 3K 宇宙背景辐射,未知句型,
使大爆炸学说成为目前为止最可信的宇宙起源理论,未知句型,
”,未知句型,
“胡说,未知句型,
”绍琳大叫起来,未知句型,
又接着滔滔不绝地讲起了宇宙大爆炸,否定句,
自然不忘深刻地剖析其反动本质,否定句,
但这理论的超级新奇吸引了四个小女孩儿中最聪明的那一个,未知句型,
她不由自主地问道：,否定句,
“连时间都是从那个奇点开始的,肯定句,
那奇点以前有什么,未知句型,
”,未知句型,
“什么都没有,否定句,
”叶哲泰说,未知句型,
像回答任何一个小女孩儿的问题那样,未知句型,
他转头慈祥地看着她,未知句型,
铁高帽和已受的重伤,未知句型,
使他这动作很艰难,未知句型,
“什么……都没有,否定句,
反动,未知句型,
反动透顶,未知句型,
”那女孩儿惊恐万状地大叫起来,未知句型,
她不知所措地转向绍琳寻求帮助,否定句,
立刻得到了回应,未知句型,
“这给上帝的存在留下了位置,未知句型,
”绍琳对女孩儿点点头提示说,未知句型,
小红卫兵那茫然的思路立刻找到了立脚点,未知句型,
她举起紧握皮带的手指着叶哲泰,未知句型,
“你,未知句型,
是想说有上帝,肯定句,
”,未知句型,
“我不知道,否定句,
”,未知句型,
“你说什么,未知句型,
”,未知句型,
“我是说不知道,肯定句,
如果上帝是指宇宙之外的超意识的话,肯定句,
我不知道它是不是存在,肯定句,
正反两方面,未知句型,
科学都没给出确实的证据,肯定句,
”其实,未知句型,
在这噩梦般的时刻,未知句型,
叶哲泰已倾向于相信它不存在了,否定句,
这句大逆不道的话在整个会场引起了骚动,否定句,
在台上一名红卫兵的带领下,未知句型,
又爆发了一波波的口号声,未知句型,
“打倒反动学术权威叶哲泰,未知句型,
”,未知句型,
“打倒一切反动学术权威,未知句型,
”,未知句型,
“打倒一切反动学说,未知句型,
”,未知句型,
……,未知句型,
“上帝是不存在的,肯定句,
一切宗教,未知句型,
都是统治阶级编造出来的麻痹人民的精神工具,肯定句,
”口号平息后,未知句型,
那个小女孩儿大声说,未知句型,
“这种看法是片面的,肯定句,
”叶哲泰平静地说,未知句型,
恼羞成怒的小红卫兵立刻做出了判断,未知句型,
对于眼前这个危险的敌人,未知句型,
一切语言都无意义了,未知句型,
她抡起皮带冲上去,未知句型,
她的三个小同志立刻跟上,未知句型,
叶哲泰的个子很高,未知句型,
这四个十四岁的女孩儿只能朝上抡皮带才能打到他那不肯低下的头,否定句,
在开始的几下打击后,未知句型,
他头上能起一定保护作用的铁高帽被打掉了,被字句,
接下来带铜扣的宽皮带如雨点般打在他的头上和身上——他终于倒下了,未知句型,
这鼓舞了小红卫兵们,未知句型,
她们更加投入地继续着这 “崇高”的战斗,未知句型,
她们在为信念而战,未知句型,
为理想而战,未知句型,
她们为历史给予自己的光辉使命所陶醉,未知句型,
为自己的英勇而自豪……,未知句型,
“最高指示：要文斗不要武斗,否定句,
”叶哲泰的两名学生终于下定了决心,未知句型,
喊出了这句话,未知句型,
两人同时冲过去,未知句型,
拉开了已处于半疯狂状态的四个小女孩儿,未知句型,
但已经晚了,未知句型,
物理学家静静地躺在地上,未知句型,
半睁的双眼看着从他的头颅上流出的血迹,未知句型,
疯狂的会场瞬间陷入了一片死寂,未知句型,
那条血迹是唯一在动的东西,肯定句,
它像一条红蛇缓慢地蜿蜒爬行着,未知句型,
到达台沿后一滴滴地滴在下面一个空箱子上,未知句型,
发出有节奏的“哒哒”声,未知句型,
像渐行渐远的脚步,未知句型,
一阵怪笑声打破了寂静,未知句型,
这声音是精神已彻底崩溃的绍琳发出的,肯定句,
听起来十分恐怖,未知句型,
人们开始离去,未知句型,
最后发展成一场大溃逃,未知句型,
每个人想都尽快逃离这个地方,未知句型,
会场很快空了下来,未知句型,
只剩下一个姑娘站在台下,未知句型,
她是叶哲泰的女儿叶文洁,肯定句,
当那四个女孩儿施暴夺去父亲生命时,未知句型,
她曾想冲上台去,未知句型,
但身边的两名老校工死死抓住她,未知句型,
并在耳边低声告诉她别连自己的命也不要了,否定句,
当时会场已经处于彻底的癫狂,未知句型,
她的出现只会引出更多的暴徒,未知句型,
她曾声嘶力竭地哭叫,未知句型,
但声音淹没在会场上疯狂的口号和助威声中,未知句型,
当一切寂静下来时,未知句型,
她自己也发不出任何声音了,否定句,
只是凝视台上父亲已没有生命的躯体,肯定句,
那没有哭出和喊出的东西在她的血液中弥漫、溶解,否定句,
将伴她一生,未知句型,
人群散去后,未知句型,
她站在那里,未知句型,
身体和四肢仍保持着老校工抓着她时的姿态,未知句型,
一动不动,否定句,
像石化了一般,未知句型,
过了好久,未知句型,
她才将悬空的手臂放下来,未知句型,
缓缓起身走上台,未知句型,
坐在父亲的遗体边,未知句型,
握起他的一只已凉下来的手,未知句型,
两眼失神地看着远方,未知句型,
当遗体要被抬走时,被字句,
叶文洁从衣袋中拿出一样东西放到父亲的那只手中,未知句型,
那是父亲的烟斗,肯定句,
文洁默默地离开了已经空无一人一片狼藉的操场,未知句型,
走上回家的路,未知句型,
当她走到教工宿舍楼下时,未知句型,
听到了从二楼自家窗口传出的一阵阵痴笑声,未知句型,
这声音是那个她曾叫做妈妈的女人发出的,肯定句,
文洁默默地转身走去,未知句型,
任双脚将她带向别处,未知句型,
8.寂静的春天,未知句型,
两年以后,未知句型,
大兴安岭,未知句型,
“顺山倒咧——”,未知句型,
随着这声嘹亮的号子,未知句型,
一棵如巴特农神庙的巨柱般高大的落叶松轰然倒下,未知句型,
叶文洁感到大地抖动了一下,未知句型,
她拿起斧头和短锯,未知句型,
开始去除巨大的树身上的枝丫,未知句型,
每到这时,未知句型,
她总觉得自己是在为一个巨人整理遗体,肯定句,
她甚至常常有这样的想象：这巨人就是自己的父亲,肯定句,
两年前那个凄惨的夜晚,未知句型,
她在太平间为父亲整理遗容时的感觉就在这时重现,未知句型,
巨松上那绽开的树皮,未知句型,
似乎就是父亲躯体上累累的伤痕,肯定句,
内蒙古生产建设兵团的六个师四十一个团十多万人就分布在这辽阔的森林和草原之间,未知句型,
刚从城市来到这陌生的世界时,未知句型,
很多兵团知青都怀着一个浪漫的期望：当苏修帝国主义的坦克集群越过中蒙边境时,未知句型,
他们将飞快地武装起来,未知句型,
用自己的血肉构成共和国的第一道屏障,未知句型,
事实上,未知句型,
这也确实是兵团组建时的战略考虑之一,肯定句,
但他们渴望的战争就像草原天边那跑死马的远山,未知句型,
清晰可见,未知句型,
但到不了眼前,否定句,
于是他们只有垦荒、放牧和砍伐,肯定句,
这些曾在“大串联”中燃烧青春的年轻人很快发现,未知句型,
与这广阔天地相比,未知句型,
内地最大的城市不过是个羊圈,肯定句,
在这寒冷无际的草原和森林间,未知句型,
燃烧是无意义的,肯定句,
一腔热血喷出来,未知句型,
比一堆牛粪凉得更快,未知句型,
还不如后者有使用价值,否定句,
但燃烧是他们的命运,肯定句,
他们是燃烧的一代,肯定句,
于是,肯定句,
在他们的油锯和电锯下,未知句型,
大片的林海化为荒山秃岭,未知句型,
在他们的拖拉机和康拜因(联合收割机)下,未知句型,
大片的草原被犁成粮田,被字句,对
然后变成沙漠,未知句型,
叶文洁看到的砍伐只能用疯狂来形容,未知句型,
高大挺拔的兴安岭落叶松、四季长青的樟子松、亭亭玉立的白桦、耸入云天的山杨、西伯利亚冷杉,未知句型,
以及黑桦、柞树、山榆、水曲柳、钻天柳、蒙古栎,未知句型,
见什么伐什么,未知句型,
几百把油锯如同一群钢铁蝗虫,把字句,
她的连队所过之处,未知句型,
只剩下一片树桩,未知句型,
整理好的落叶松就要被履带拖拉机拖走了,被字句,对
在树干另一头,未知句型,
叶文洁轻轻抚摸了一下那崭新的锯断面,未知句型,
她常常下意识地这么做,未知句型,
总觉得那是一处巨大的伤口,肯定句,
似乎能感到大树的剧痛,未知句型,
她突然看到,未知句型,
在不远处树桩的锯断面上,否定句,
也有一只在轻轻抚摸的手,未知句型,
那手传达出的心灵的颤抖,未知句型,
与她产生了共振,未知句型,
那手虽然很白皙,未知句型,
但能够看出是属于男性的,肯定句,
叶文洁抬头,未知句型,
看到抚摸树桩的人是白沐霖,肯定句,
一个戴眼镜的瘦弱青年,未知句型,
他是兵团《大生产报》的记者,肯定句,
前天刚到连队来采访,未知句型,
叶文洁看过他写的文章,未知句型,
文笔很好,未知句型,
其中有一种与这个粗放环境很不协调的纤细和敏感,否定句,
令她很难忘,未知句型,
“马钢,未知句型,
你过来,未知句型,
”白沐霖对不远处一个小伙子喊道,否定句,
那人壮得像这棵刚被他伐倒的落叶松,被字句,对
他走过来,未知句型,
白记者问道：“你知道这棵树多大年纪了,未知句型,
”“数数呗,未知句型,
”马钢指指树桩上的年轮说,未知句型,
“我数了,未知句型,
三百三十多岁呢,未知句型,
你锯倒它用了多长时间,未知句型,
”,未知句型,
“不到十分钟吧,否定句,对
告诉你,未知句型,
我是连里最快的油锯手,肯定句,
我到哪个班,未知句型,
流动红旗就跟我到那儿,未知句型,
”马钢看上去很兴奋,未知句型,
让白记者注意到的人都这样,未知句型,
能在《大生产报》的通讯报道上露一下脸也是很光荣的事,肯定句,
“三百多年,未知句型,
十几代人啊,未知句型,
它发芽时还是明朝呢,肯定句,
这漫长的岁月里,未知句型,
它经历过多少风雨,未知句型,
见过多少事,未知句型,
可你几分钟就把它锯倒了,把字句,
你真没感觉到什么,未知句型,
”,未知句型,
“你想让我感觉到什么呢,未知句型,
”马钢愣了一下,未知句型,
“不就一棵树嘛,否定句,错
这里最不缺的就是树,肯定句,
比它岁数长的老松多的是,肯定句,
”,未知句型,
“忙你的去吧,未知句型,
”白沐霖摇摇头,未知句型,
坐在树桩子上轻轻叹息了一声,未知句型,
马钢也摇摇头,未知句型,
记者没有报道他的兴趣,否定句,对
令他很失望,未知句型,
“知识分子毛病就是多,肯定句,
”他说的时候还瞟了一眼不远处的叶文洁,否定句,错
他的话显然也包括了她,未知句型,
大树被拖走了,被字句,
地面上的石块和树桩划开了树皮,未知句型,
使它巨大的身躯皮开肉绽,未知句型,
它原来所在的位置上,未知句型,
厚厚的落叶构成的腐植层被压出了一条长沟,被字句,
沟里很快渗出了水,未知句型,
陈年落叶使水呈暗红色,未知句型,
像血,未知句型,
“小叶,未知句型,
过来歇歇吧,未知句型,
”白沐霖指指大树桩空着的另一边对叶文洁说,未知句型,
文洁确实累了,肯定句,
放下工具,未知句型,
走过来和记者背靠背地坐着,未知句型,
沉默了好一会儿,未知句型,
白沐霖突然说：“我看得出来你的感觉,未知句型,
在这里也就我们俩有这种感觉,未知句型,
”,未知句型,
文洁仍然沉默着,未知句型,
白沐霖预料她不会回答,否定句,对
叶文洁平时沉默寡言,未知句型,
很少与人交流,未知句型,
有些刚来的人甚至误认为她是哑巴,肯定句,
白沐霖自顾自地说下去：“一年前打前站时我就到过这个林区,未知句型,
记得刚到时是晌午,肯定句,
接待我们的人说要吃鱼,未知句型,
我在那间小树皮屋里四下看看,未知句型,
就烧着一锅水,未知句型,
哪有鱼啊,未知句型,
水开后,未知句型,
见做饭的人拎着擀面杖出去,未知句型,
到屋前的那条小河中‘乒乓’几棒子,未知句型,
就打上几条大鱼来……多富饶的地方,未知句型,
可现在看看那条河,未知句型,
一条什么都没有的浑水沟,否定句,对
我真不知道,否定句,
现在整个兵团的开发方针是搞生产还是搞破坏,肯定句,
”,未知句型,
“你这种想法是从哪儿来呢,肯定句,
”叶文洁轻声问,未知句型,
并没有透露出她对这想法是赞同还是反对,肯定句,
但她能说话,未知句型,
已经让白沐霖很感激了,未知句型,
“我刚看了一本书,未知句型,
感触很深……你能读英文吧,未知句型,
”看到文洁点点头,未知句型,
白沐霖从包中掏出一本蓝色封面的书,未知句型,
在递给文洁时,未知句型,
他有意无意地四下看了看,未知句型,
“这本书是六二年出的,肯定句,
在西方影响很大,未知句型,
”,未知句型,
文洁转身接过书,未知句型,
看到书名是《SILENT SPRING 》)(《寂静的春天》),肯定句,
作者是Rachel Carson,肯定句,
“哪儿来的,未知句型,
”她轻声问,未知句型,
“这本书引起了上级的重视,未知句型,
要搞内参,未知句型,
我负责翻译与森林有关的那部分,未知句型,
”,未知句型,
文洁翻开书,未知句型,
很快被吸引住了,被字句,
在短短的序章中,未知句型,
作者描述了一个在杀虫剂的毒害下正在死去的寂静的村庄,未知句型,
平实的语言背后显现着一颗忧虑的心,未知句型,
“我想给中央写信,未知句型,
反映建设兵团这种不负责任的行径,否定句,
”白沐霖说,未知句型,
叶文洁从书上抬起头来,未知句型,
好半天才明白他意思,未知句型,
没说什么又低头看书,未知句型,
“你要想看就先拿着,未知句型,
不过最好别让其他人看见,否定句,
这东西,未知句型,
你知道……”白沐霖说着,未知句型,
又四下看了看,未知句型,
起身离去,未知句型,
三十八年后,未知句型,
在叶文洁的最后时刻,未知句型,
她回忆起《寂静的春天》对自己一生的影响,未知句型,
在这之前,未知句型,
人类恶的一面已经在她年轻的心灵上刻下不可愈合的巨创,否定句,
但这本书使她对人类之恶第一次进行了理性的思考,未知句型,
这本来应该是一本很普通的书,肯定句,
主题并不广阔,否定句,
只是描述杀虫剂的滥用对环境造成的危害,肯定句,
但作者的视角对叶文洁产生了巨大的震撼：蕾切尔·卡逊所描写的人类行为——使用杀虫剂,未知句型,
在文洁看来只是一项正当和正常的、至少是中性的行为,肯定句,
而本书让她看到,未知句型,
从整个大自然的视角看,未知句型,
这个行为与“文化大革命”是没有区别的,肯定句,
对我们的世界产生的损害同样严重,未知句型,
那么,未知句型,
还有多少在自己看来是正常甚至正义的人类行为是邪恶的呢,肯定句,
再想下去,未知句型,
一个推论令她不寒而栗,否定句,
陷入恐惧的深渊：也许,未知句型,
人类和邪恶的关系,未知句型,
就是大洋与漂浮于其上的冰山的关系,肯定句,
它们其实是同一种物质组成的巨大水体,肯定句,
冰山之所以被醒目地认出来,被字句,
只是由于其形态不同而已,肯定句,
而它实质上只不过是这整个巨大水体中极小的一部分……人类真正的道德自觉是不可能的,肯定句,
就像他们不可能拔着自己的头发离开大地,否定句,
要做到这一点,未知句型,
只有借助于人类之外的力量,未知句型,
这个想法最终决定了叶文洁的一生,未知句型,
四天后,未知句型,
叶文洁去还书,未知句型,
白沐霖住在连队唯一的一间招待房里,未知句型,
文洁推开门,未知句型,
见他疲惫地躺在床上,未知句型,
一身泥水和木屑,未知句型,
见到文洁,未知句型,
他赶紧起身,未知句型,
“今天干活儿了,未知句型,
”文洁问,未知句型,
“下连队这么长时间了,未知句型,
不能总是甩手到处转,肯定句,
劳动得参加,未知句型,
三结合嘛,未知句型,
哦,未知句型,
我们在雷达峰干,未知句型,
那里林木真密,未知句型,
地下的腐叶齐膝深,未知句型,
我真怕中了瘴气,未知句型,
”白沐霖说,未知句型,
“雷达峰,未知句型,
”文洁听到这个名字很吃惊,未知句型,
“是啊,肯定句,
团里下的紧急任务,未知句型,
要围着它伐出一圈警戒带,未知句型,
”,未知句型,
雷达峰是一个神秘的地方,肯定句,
那座陡峭的奇峰本没有名字,否定句,
只是因为它的峰顶有一面巨大的抛物面天线才得此名,肯定句,
其实,未知句型,
稍有常识的人都知道那不是雷达天线,肯定句,
虽然它的方向每天都会变化,未知句型,
但从未连续转动过,未知句型,
那天线在风中发出低沉的嗡嗡声,未知句型,
很远都能听到,未知句型,
连队的人只知道那是一个军事基地,肯定句,
听当地人说,未知句型,
三年前建设那个基地时,未知句型,
曾动用巨大的人力,未知句型,
向峰顶架设了一条高压线,未知句型,
开辟了一条通向峰顶的公路,未知句型,
有大量的物资沿公路运上去,未知句型,
但基地建成后,未知句型,
竟把这条公路拆毁了,把字句,
只留下一条勉强能通行的林间小路,未知句型,
常有直升机在峰顶起降,未知句型,
那座天线并不总是出现,肯定句,
风太大时它会被放倒,被字句,
而当它立起来时,未知句型,
就会发生许多诡异的事情：林间的动物变得焦躁不安,否定句,
林鸟被大群地惊起,被字句,
人也会出现头晕恶心等许多不明症状,否定句,
在雷达峰附近的人还特别容易掉头发,未知句型,
据当地人说,未知句型,
这也是天线出现后才有的事,肯定句,
雷达峰有许多神秘的传说：一次下大雪,未知句型,
那个天线立起来,未知句型,
这方圆几里的雪立刻就变成了雨,未知句型,
严寒中,未知句型,
雨水在树上冻成冰,未知句型,
每棵树都挂起了大冰挂子,未知句型,
森林成了水晶宫,未知句型,
其间不断地响着树枝被压断的“咔嚓”声和冰挂子坠地的“轰轰”声,否定句,错
有时,未知句型,
在天线立起时,未知句型,
晴空会出现雷电,未知句型,
夜间天空中能看到奇异的光晕……雷达峰警戒森严,未知句型,
建设兵团的连队驻扎后,未知句型,
连长第一件事就是让所有人注意不要擅自靠近雷达峰,肯定句,
否则基地的岗哨可以不经警告就开枪,肯定句,
上星期,未知句型,
连队里两个打猎的兵团战士追一只狍子,未知句型,
不知不觉追到了雷达峰下,否定句,错
立刻招来了来自半山腰上岗亭的急促射击,未知句型,
幸亏林子密,未知句型,
两人没伤着跑了回来,未知句型,
其中一个吓得尿了一裤子,未知句型,
第二天连里开会,未知句型,
每人挨了一个警告处分,未知句型,
可能正是因为这事,肯定句,
基地才决定在周围的森林中开伐一圈警戒带,未知句型,
而兵团的人力可以随他们调用,肯定句,
也可见其行政级别很高,未知句型,
白沐霖接过书,未知句型,
小心地放到枕头下面,未知句型,
同时从那里拿出了几页写得密密麻麻的稿纸,未知句型,
递给文洁,未知句型,
“这是那封信的草稿,肯定句,
你看看行吗,疑问句,
”,未知句型,
“信,未知句型,
”,未知句型,
“我跟你说过的,未知句型,
要给中央写信,未知句型,
”,未知句型,
纸上的字迹很潦草,未知句型,
叶文洁很吃力地看完了,未知句型,
这封信立论严谨,未知句型,
内容丰富：从太行山因植被破坏,被字句,
由历史上的富庶之山变成今天贫瘠的秃岭,未知句型,
到现代黄河泥沙含量的急剧增加,未知句型,
得出了内蒙古建设兵团的大垦荒将带来严重后果的结论,未知句型,
文洁这才注意到,未知句型,
他的文笔真的与《寂静的春天》很相似,未知句型,
平实精确而蕴涵诗意,未知句型,
令理科出身的她感到很舒适,未知句型,
“写得很好,未知句型,
”她由衷地赞叹道,未知句型,
白沐霖点点头,未知句型,
“那我寄出去了,未知句型,
”说着拿出了一本新稿纸要誊抄,未知句型,
但手抖得厉害,未知句型,
一个字都写不出来,否定句,对
第一次使油锯的人都是这样,肯定句,
手抖得可能连饭碗都端不住,否定句,对
更别说写字了,未知句型,
“我替你抄吧,未知句型,
”叶文洁说,未知句型,
接过白沐霖递来的笔抄了起来,未知句型,
“你字写得真好,未知句型,
”白沐霖看着稿纸上抄出的第一行字说,未知句型,
他给文洁倒了一杯水,未知句型,
手仍然抖得厉害,未知句型,
水洒出来不少,否定句,错
文洁忙把信纸移开些,把字句,
“你是学物理的,肯定句,
”白沐霖问,未知句型,
“天体物理,未知句型,
现在没什么用处了,未知句型,
”文洁回答,未知句型,
没有抬头,否定句,对
“那就是研究恒星吧,肯定句,
怎么会没用处呢,未知句型,
现在大学都已复课,未知句型,
但研究生不再招了,否定句,对
你这样的高级人才窝到这种地方,未知句型,
唉……”,未知句型,
文洁没有回答,否定句,对
只是埋头抄写,肯定句,
她不想告诉白沐霖,否定句,对
自己能进入建设兵团已经很幸运了,未知句型,
对于现实,未知句型,
她什么都不想说,否定句,
也没什么可说的了,未知句型,
屋里安静下来,未知句型,
只有钢笔尖在纸上划动的沙沙声,未知句型,
文洁能闻到身边记者身上松木锯末的味道,未知句型,
自父亲惨死后,未知句型,
她第一次有一种温暖的感觉,未知句型,
第一次全身心松弛下来,未知句型,
暂时放松了对周围世界的戒心,未知句型,
一个多小时后,未知句型,
信抄完了,未知句型,
又按白沐霖说的地址和收信人写好了信封,未知句型,
文洁起身告辞,未知句型,
走到门口时,未知句型,
她回头说：“把你的外衣拿来,把字句,
我帮你洗洗吧,未知句型,
”说完后,未知句型,
她对自己的这一举动很吃惊,未知句型,
“不,否定句,
那哪行,未知句型,
”白沐霖连连摆手说,未知句型,
“你们建设兵团的女战士,未知句型,
白天干的都是男同志的活儿,肯定句,
快回去休息吧,未知句型,
明天六点就要上山呢,未知句型,
哦,未知句型,
文洁,未知句型,
我后天就要回师部了,未知句型,
我会把你的情况向上级反映一下,把字句,
也许能帮上忙呢,未知句型,
”,未知句型,
“谢谢,未知句型,
不过我觉得这里很好,否定句,
挺安静的,未知句型,
”文洁看着月光下大兴安岭朦胧的林海说,未知句型,
“你是不是在逃避什么,肯定句,
”,未知句型,
“我走了,未知句型,
”叶文洁轻声说,未知句型,
转身离去,未知句型,
白沐霖看着她那纤细的身影在月光下消失,未知句型,
然后,未知句型,
他抬头遥望文洁刚才看过的林海,未知句型,
看到远方的雷达峰上,未知句型,
巨大的天线又缓缓立起,未知句型,
闪着金属的冷光,未知句型,
三个星期后的一天中午,未知句型,
叶文洁被从伐木场紧急召回连部,被字句,
一走进办公室,未知句型,
她就发现气氛不对,否定句,
连长和指导员都在,未知句型,
还有一个表情冷峻的陌生人,未知句型,
他面前的办公桌上放着一个黑色的公文包,未知句型,
旁边两件东西显然是从公文包中拿出来的,肯定句,
那是一个信封和一本书,肯定句,
信封是拆开的,肯定句,
书就是那本她看过的《寂静的春天》,肯定句,
这个年代的人对自己的政治处境都有一种特殊的敏感,未知句型,
而这种敏感在叶文洁身上更强烈一些,未知句型,
她顿时感到周围的世界像一个口袋般收紧,未知句型,
一切都向她挤压过来,未知句型,
“叶文洁,未知句型,
这是师政治部来调查的张主任,肯定句,
”指导员指指陌生人说,未知句型,
“希望你配合,未知句型,
要讲实话,未知句型,
”,未知句型,
“这封信是你写的吗,肯定句,
”张主任问,未知句型,
同时从信封中抽出信来,未知句型,
叶文洁伸手去拿,未知句型,
但张主任没给她,未知句型,
仍把信拿在自己手中,把字句,
一页一页翻给她看,未知句型,
终于翻到了她想看的最后一页,未知句型,
落款上没有姓名,否定句,
只写着“革命群众”四个字,未知句型,
“不,否定句,
不是我写的,肯定句,
”文洁惊恐地摇摇头,未知句型,
“可这是你的笔迹,肯定句,
”,未知句型,
“是,肯定句,
可我是帮别人抄的,肯定句,
”,未知句型,
“帮谁,未知句型,
”,未知句型,
平时在连队遇到什么事,未知句型,
叶文洁很少为自己申辩,未知句型,
所有的亏都默默地吃了,未知句型,
所有的委屈都默默地承受,未知句型,
更不用说牵连别人了,否定句,
但这次不同,否定句,
她很清楚这意味着什么,未知句型,
“是帮那位上星期到连队来采访的《大生产报》记者抄的,肯定句,
他叫……”,未知句型,
“叶文洁,未知句型,
”张主任的眼睛像两个黑洞洞的枪口对着她,未知句型,
“我警告你,未知句型,
诬陷别人会使你的问题更加严重,未知句型,
我们已经从白沐霖同志那里调查清楚了,未知句型,
他只是受你之托把信带到呼和浩特发出去,肯定句,
并不知道信的内容,否定句,
”,未知句型,
“他……是这么说的,肯定句,
”文洁眼前一黑,未知句型,
张主任没有回答她的话,否定句,
而是拿起了那本书,肯定句,
“你写这封信,未知句型,
一定是受到了它的启发,肯定句,
”他把书对着连长和指导员展示了一下,把字句,
“这本书叫《寂静的春天》,未知句型,
1962 年在美国出版,未知句型,
在资本主义世界影响很大,未知句型,
”他接着从公文包中拿出了另一本书,未知句型,
封面是白皮黑字,肯定句,
“这是这本书的中译本,肯定句,
是有关部门以内参形式下发的,肯定句,
供批判用,未知句型,
现在,未知句型,
上级对这本书已经做出了明确的定性：这是一部反动的大毒草,肯定句,
该书从唯心史观出发,未知句型,
宣扬末世论,未知句型,
借环境问题之名,未知句型,
为资本主义世界最后的腐朽没落寻找托辞,未知句型,
其实质是十分反动的,肯定句,
”,未知句型,
“可这本书……也不是我的,肯定句,
”文洁无力地说,未知句型,
“白沐霖同志是上级指定的本书译者之一,肯定句,
他携带这本书是完全合法的,肯定句,
当然,未知句型,
他也负有保管责任,未知句型,
不该让你趁他在劳动中不备时偷拿去看——现在,否定句,
你从这本书中找到了向社会主义进攻的思想武器,未知句型,
”,未知句型,
叶文洁沉默了,未知句型,
她知道自己已经掉到陷阱的底部,未知句型,
任何挣扎都是徒劳的,肯定句,
与后来人们熟知的一些历史记载相反,未知句型,
白沐霖当初并非有意陷害叶文洁,否定句,
他写给中央的那封信也可能是出于真诚的责任心,肯定句,
那时怀着各种目的直接给中央写信的人很多,未知句型,
大多数信件石沉大海,未知句型,
也有少数人因此一夜之间飞黄腾达或面临灭顶之灾,未知句型,
当时的政治神经是极其错综复杂的,肯定句,
作为记者,未知句型,
白沐霖自以为了解这神经系统的走向和敏感之处,未知句型,
但他过分自信了,未知句型,
他这封信触动了他以前不知道的雷区,否定句,
得知消息后,未知句型,
恐惧压倒了一切,未知句型,
他决定牺牲叶文洁,未知句型,
保护自己,未知句型,
半个世纪后,未知句型,
历史学家们一致认为,未知句型,
1969,未知句型,
年的这一事件是以后人类历史的一个转折点,肯定句,
白沐霖无意之中成为一个标志性的关键历史人物,未知句型,
但他自己没有机会知道这点,否定句,
历史学家们失望地记载了他平淡的余生,未知句型,
白沐霖在《大生产报》一直工作到,未知句型,
1975 年,未知句型,
那时内蒙古建设兵团撤销,未知句型,
他调到一个东北城市的科协工作至上世纪八十年代初,未知句型,
然后出国到加拿大,未知句型,
在渥太华一所华语学校任教师至,未知句型,
1991 年,未知句型,
患肺癌去世,未知句型,
余生中他没对任何人提起过叶文洁的事,未知句型,
是否感到过自责和忏悔也不得而知,肯定句,
“小叶啊,未知句型,
连里对你可是仁至义尽了,肯定句,
”连长喷出一口辣烈的莫合烟,未知句型,
看着地面说,未知句型,
“你出身和家庭背景都不好,否定句,
可我们没把你当外人,把字句,
针对你脱离群众、不积极要求进步的倾向,否定句,
我和指导员都多次找你谈过,未知句型,
想帮助你,未知句型,
谁想到,未知句型,
你竟犯了这么严重的错误,未知句型,
”,未知句型,
“我早就看出来,未知句型,
她对‘文化大革命’的抵触情绪是根深蒂固的,肯定句,
”指导员接着说,未知句型,
“下午,未知句型,
